player_id,nickname,country,position,faceit_elo,game_skill_level,lifetime_matches,lifetime_win_rate_percent,lifetime_kd_ratio,lifetime_headshots_percent
1ebdcc8a-e5e6-4902-8de6-fd84acf473b8,crushzin10,br,487,2617,10,2380,50,1.24,50
9c989a6f-9681-4fdc-a1ab-b95da089a9cd,tyzh,br,488,2616,10,618,56,1.18,59
87d96793-bee5-46ae-a705-7d3108698c0f,sekaene,br,489,2616,10,568,58,1.27,54
ea4fdd0f-ab62-440d-93e4-03b07263cdf3,dasasddaw,br,490,2615,10,1855,54,1.36,45
ba592314-a1ba-4b5b-be1f-0c74c4524ff9,matj-,hk,491,2615,10,1107,54,1.33,55
43450cfb-f98d-4dc5-927a-e03d32715bdd,aversity,br,492,2615,10,3345,57,1.18,60
4d49ad06-0937-4a9a-bff3-6fa020770941,Slender-r-,ar,493,2614,10,4306,51,1.3,57
356e9a0d-bf82-4292-8c5f-8727248bb4fb,shinz-z,ar,494,2614,10,1735,50,1.19,50
0b00a236-35a4-4e8d-a15a-4caa8ca72fd4,Maluk3,br,495,2614,10,1175,62,1.36,38
03514a20-e35e-4f40-b57b-4cd06f8d211b,DwarfGod,ar,496,2614,10,312,61,1.8,44
cb2e90a0-f641-4683-b156-e5adb9f2f575,jotta--,br,497,2613,10,849,53,1.28,53
ea99aafe-2a27-499c-80c9-0d856c8f8abb,skArlord,br,498,2612,10,977,59,1.26,44
66411b38-95bf-4e5f-b024-516acac3e4ef,electricity,uy,499,2612,10,1667,53,1.32,48
82b9ff47-a75f-4e70-9e50-896e0f343bba,dukha_,br,500,2611,10,1059,56,1.25,51
0a89d95a-dd8e-4111-9ea6-336c864cd556,elemeNtz1n,br,501,2611,10,1849,52,1.15,49
e076b493-cf26-4d2e-89b7-b155f59f8576,Ziulfps,br,502,2610,10,264,62,1.44,57
96096d54-2515-49a5-96d0-28f829434aa9,zzzokkz,ar,503,2610,10,3015,51,1.11,58
648af157-90c5-4e69-b0c3-31ae037f4bae,coldzera,br,504,2610,10,1777,64,1.71,52
add9717b-a1d2-46a9-99f7-5d859eeceb0f,Pepezik4,br,505,2609,10,1983,53,1.38,50
e33317f9-7bf2-443f-aa47-217b2a891dd2,cutuca-utero,br,506,2608,10,277,59,1.25,49
dd057355-5ad5-4b32-b948-2ec560ef7a35,ur4n1-,br,507,2608,10,433,59,1.26,46
bd13e9ae-2c63-4ab7-82ea-0fdbba4cd934,fueleNt,ar,508,2608,10,1150,54,1.09,50
8ab896df-112d-4131-93f5-7c256f5e0ca1,nz1zinn,br,509,2608,10,1379,60,1.38,50
9c19a9a6-7a9a-4608-8121-c06013c5cbcc,pezetay_,cl,510,2607,10,635,55,1.12,58
eca5817f-27d4-44e9-8d08-1dcc3ee43bed,-RMN--,br,511,2606,10,1614,54,1.15,53
ce0ee051-88e1-49fe-8079-7b1a3e433a2c,mmm-_,br,512,2606,10,466,61,1.58,50
3e58c8bd-f6ee-4c29-9940-6b30dc46a2cb,-kidt,br,513,2606,10,446,55,1.35,44
3bf076dc-c000-427d-a98d-5eaf737d3a0e,JOTITA--,uy,514,2605,10,905,59,1.31,52
f851ed63-e8c3-41cf-95ef-83b3009b70a4,Calanguin,br,515,2603,10,482,55,1.21,52
93a7266f-d6de-4a55-8e01-fbeb8c31a763,-kid,br,516,2603,10,2523,53,1.15,55
8ebdaf2a-2ea6-4fff-b64f-ee42ee16a9ed,XitA,br,517,2603,10,1172,56,1.25,43
4a73d082-7dbf-447b-86ca-5f8cc6f649b3,HOMERSIMPLES,br,518,2603,10,677,57,1.32,44
c6cfc484-baa3-44c3-949e-27f09d148aba,noahhksz,ar,519,2602,10,2509,54,1.14,58
af660cbd-1342-44e0-9656-04a83aa12c19,LordVintorx,ru,520,2601,10,1242,53,1.17,57
5f1c579a-1be1-47e8-9a8f-39e84a333700,-_rx,br,521,2601,10,2759,53,1.14,49
44560db5-efb2-4e5a-8ca8-4df1511c9f99,-storm-,dk,522,2601,10,712,59,1.47,54
0292a3ed-0b6d-4625-9ab3-864555db4686,sTz_m0nst3r,br,523,2601,10,506,54,1.21,54
eed0e748-6558-461c-9c9e-2d9c2fb1fb69,preeh,br,524,2600,10,1308,56,1.23,46
c3d100fb-78a1-4ce4-907d-2db29ea6b5b5,H3NzZ,br,525,2600,10,425,57,1.31,50
dfefd357-f807-4f27-adb9-5ab2b9d4578f,spliff666,cl,526,2599,10,1380,54,1.13,58
1b7ce264-cae4-45c5-afb1-526123adaf65,-sickboyrare,wf,527,2599,10,3142,54,1.17,65
02ec0e68-e807-4dd0-b0d0-6e39d0c19bc8,AKEX_GOD,py,528,2599,10,1620,59,1.35,55
c6967ecb-d11e-4f37-85d3-3e4f397d0afe,TrrS,br,529,2598,10,1521,50,1.07,45
c189970d-9652-4650-9ca6-03571c102123,Annonimo,br,530,2598,10,1022,59,1.53,50
7e7cbb13-80ff-429e-bb88-fc5d72fc3efd,Pheox3,br,531,2598,10,329,59,1.18,62
7075449e-c87c-451c-a9bd-2ea89147f2fb,KING-137,ar,532,2598,10,1857,52,1.19,53
2634aed3-5fd9-4414-b741-a470dda18f82,Hosoya,br,533,2598,10,999,57,1.32,40
11f9f341-0803-413d-a85c-e039bc298913,Lucas3ds,br,534,2598,10,1065,54,1.21,44
5e7ad61e-a055-4ca3-aaec-28a283658f5e,Reixzao,br,535,2597,10,1318,58,1.22,53
7f293626-87ef-4702-a619-787152760052,pronix-,br,536,2596,10,1217,55,1.11,56
73a43933-075c-44b3-bd14-417dab8a7b94,ReLiiighT,br,537,2596,10,3210,51,1.14,49
22d5b526-a57d-4e7a-9182-78ecee1f2b79,chit--,br,538,2596,10,604,61,1.34,51
d75af3fc-83ba-4511-baa9-c58fb6179803,-jqn,ar,539,2594,10,2777,54,1.04,56
d70b5d26-d992-4d41-95d9-130fbc1f2599,Kayali,br,540,2594,10,905,58,1.23,51
b164ebd6-19e7-4154-830a-fbbc23265d13,Brunozinn,br,541,2594,10,1304,55,1.42,50
8588bbc5-a2ad-415b-b227-d894aeb71663,-rod1,br,542,2594,10,434,68,1.49,60
052f5029-b2d0-4a28-9f5f-074c19d244b8,pinheiropz,br,543,2594,10,728,57,1.14,52
8ad4c3a7-cf03-4c7a-a462-ddb8132ff2c2,tutehen,ar,544,2593,10,2040,57,1.2,51
a089279c-e5c5-4b6a-b6bc-2f83587b4ff1,atakami,ar,545,2592,10,2672,56,1.27,52
55c533f9-3936-446c-aa35-f5a63a94c2db,DROPWEEK,cl,546,2592,10,1029,57,1.24,55
6eb11cf6-5eff-4ceb-adf5-aa8f4f524e1b,lcszik444-,br,547,2591,10,598,57,1.26,54
1c840ee4-e9d6-45ed-b862-357bfc1d1c4a,rato--,cn,548,2591,10,619,55,1.16,47
27a31980-be97-49cc-99cf-4d9ea0fafc0a,dutzr,br,549,2590,10,1170,66,1.38,49
a05035db-4c32-4163-aa15-22401a480bf3,Ipp0-,pe,550,2589,10,2553,53,1.27,48
0bb5cad4-2315-49d2-a31d-f8ae03f2e01e,chuoz,ve,551,2589,10,1511,58,1.31,42
1d4f05f8-f4c9-49a3-92b2-aedf4ba7b67f,tWerrp,br,552,2588,10,839,56,1.25,55
358c1c8a-3aa4-4552-ad60-244ee5bd87cb,gdn-_,br,553,2587,10,838,55,1.14,52
d2d0dcd2-bdff-4831-ae49-2b04f246ca7b,hfgetpk,br,554,2586,10,397,57,1.41,52
709890f5-f2bf-41d0-a143-bf832921268c,Ton3Ladinha,br,555,2586,10,1357,52,1.17,46
52962fdf-cbe7-4d17-ba34-48bf71c2b1b3,hdk-,jp,556,2586,10,1182,62,1.3,54
fd982ad7-ab4b-480b-8304-f3e966b33135,Rhz-,br,557,2585,10,1646,55,1.07,57
1bbc8734-4481-4f9b-b5fe-c5a803fb012b,442-_-,br,558,2585,10,1282,54,1.21,49
75e7a1ae-fa11-4855-986a-ff3bbaabe23f,dozzzzcs,br,559,2584,10,2599,50,1.14,44
